Initialised
         12256924 function calls (12247285 primitive calls) in 24.889 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 generic.py:9575(_make_min_count_stat_function)
      144    0.000    0.000    0.000    0.000 __init__.py:293(set_function_name)
      432    0.000    0.000    0.000    0.000 colors.py:204(<genexpr>)
       84    0.000    0.000    0.000    0.000 sre_parse.py:784(_parse_flags)
       34    0.000    0.000    0.000    0.000 groupby.py:3348(_whitelist_method_generator)
       14    0.000    0.000    0.000    0.000 pathlib.py:631(_parse_args)
        2    0.000    0.000    0.000    0.000 textwrap.py:356(fill)
      192    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 _color_data.py:992(<dictcomp>)
      308    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:286(Verbose)
       24    0.000    0.000    0.000    0.000 version.py:307(parse)
        1    0.000    0.000    0.000    0.000 Thylakoid_model_2.py:16(Particle)
        1    0.000    0.000    0.000    0.000 timedeltas.py:99(TimedeltaIndex)
    38/36    0.000    0.000    0.000    0.000 typing.py:580(_subs_tree)
        2    0.000    0.000    0.000    0.000 decorator.py:240(decorator)
      207    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:464(_find_new_)
       54    0.000    0.000    0.000    0.000 pyparsing.py:2870(__str__)
       35    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        5    0.000    0.000    0.000    0.000 textwrap.py:160(_split)
       25    0.000    0.000    0.000    0.000 pyparsing.py:4150(__init__)
        6    0.000    0.000    0.000    0.000 patches.py:1822(<listcomp>)
       27    0.000    0.000    0.000    0.000 core.py:920(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(create_module)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 lazy.py:1(<module>)
      306    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 window.py:60(_Window)
       53    0.000    0.000    0.000    0.000 typing.py:1047(_get_type_vars)
        2    0.000    0.000    0.000    0.000 getlimits.py:409(_init)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1099(_ip_int_from_string)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1614(_ip_int_from_string)
        4    0.000    0.000    0.000    0.000 numeric.py:2916(extend_all)
       31    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
      307    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
        1    0.000    0.000    0.000    0.000 categorical.py:170(Categorical)
       80    0.000    0.000    0.000    0.000 typing.py:1025(_abc_negative_cache)
        1    0.000    0.000    0.000    0.000 _base.py:396(_AxesBase)
       22    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
     1069    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
      170    0.000    0.000    0.000    0.000 ops.py:854(<lambda>)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 array.py:130(SparseArray)
      620    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      684    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:602(_get_config_or_cache_dir)
      981    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _core.py:2712(SeriesPlotMethods)
        2    0.000    0.000    0.000    0.000 _decorators.py:184(decorate)
        1    0.000    0.000    0.000    0.000 pyparsing.py:5864(pyparsing_unicode)
        1    0.000    0.000    0.000    0.000 typing.py:1248(__getitem__)
      173    0.000    0.000    0.000    0.000 rcsetup.py:59(__call__)
       56    0.000    0.000    0.000    0.000 base.py:128(_make_arithmetic_op)
       34    0.000    0.000    0.000    0.000 typing.py:896(_no_slots_copy)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4603(delimitedList)
        1    0.000    0.000    0.000    0.000 __init__.py:783(RcParams)
       18    0.000    0.000    0.000    0.000 core.py:996(__init__)
        1    0.000    0.000    0.000    0.000 _core.py:2911(FramePlotMethods)
       60    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.arange}
       52    0.000    0.000    0.000    0.000 typing.py:354(_type_check)
       60    0.000    0.000    0.000    0.000 cm.py:60(<listcomp>)
      117    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       76    0.000    0.000    0.000    0.000 typing.py:1107(<genexpr>)
       86    0.000    0.000    0.000    0.000 pyparsing.py:3505(<genexpr>)
     1409    0.000    0.000    0.000    0.000 inspect.py:2508(annotation)
       39    0.000    0.000    0.000    0.000 inspect.py:485(unwrap)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:70(<lambda>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
      103    0.000    0.000    0.000    0.000 ops.py:182(_gen_eval_kwargs)
       12    0.000    0.000    0.000    0.000 ops.py:1654(_comp_method_PANEL)
      410    0.000    0.000    0.000    0.000 artist.py:1235(aliased_name)
        3    0.000    0.000    0.000    0.000 pathlib.py:1057(home)
       39    0.000    0.000    0.000    0.000 contextlib.py:157(helper)
      242    0.000    0.000    0.000    0.000 types.py:135(__get__)
       12    0.000    0.000    0.000    0.000 ops.py:1566(_flex_comp_method_FRAME)
       19    0.000    0.000    0.000    0.000 __init__.py:1357(_to_unmasked_float_array)
       15    0.000    0.000    0.000    0.000 ops.py:996(_arith_method_SERIES)
        1    0.000    0.000    0.000    0.000 groupby.py:1400(_add_numeric_operations)
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
      568    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       15    0.000    0.000    0.000    0.000 pathlib.py:51(parse_parts)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scope.py:3(<module>)
        1    0.000    0.000    0.000    0.000 range.py:28(RangeIndex)
       30    0.000    0.000    0.000    0.000 rcsetup.py:288(__call__)
      270    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
        1    0.000    0.000    0.000    0.000 stata.py:959(StataReader)
      576    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 legend.py:307(Legend)
       55    0.000    0.000    0.000    0.000 rcsetup.py:939(_validate_linestyle)
        1    0.000    0.000    0.000    0.000 plotting.py:1(<module>)
       16    0.000    0.000    0.000    0.000 offsets.py:59(apply_wraps)
        1    0.000    0.000    0.000    0.000 text.py:1980(Annotation)
      130    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        6    0.000    0.000    0.000    0.000 textwrap.py:467(indent)
      635    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        6    0.000    0.000    0.000    0.000 groupby.py:1404(groupby_function)
        1    0.000    0.000    0.000    0.000 contour.py:52(ContourLabeler)
        1    0.000    0.000    0.000    0.000 pyplot.py:2078(<listcomp>)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1506(get)
      252    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.can_cast}
        2    0.000    0.000    0.000    0.000 lazy.py:84(__new__)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1509(set)
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.000    0.000 __init__.py:645(get_cachedir)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
      359    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 typing.py:790(__getitem__)
        2    0.000    0.000    0.000    0.000 lazy.py:139(__new__)
        9    0.000    0.000    0.000    0.000 datetime.py:356(__new__)
       20    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
       12    0.000    0.000    0.000    0.000 ops.py:1604(_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 common.py:3(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:382(_NormalAccessor)
      123    0.000    0.000    0.000    0.000 enum.py:874(_power_of_two)
        1    0.000    0.000    0.000    0.000 axis.py:687(Axis)
       20    0.000    0.000    0.000    0.000 __init__.py:1212(_fixupParents)
        1    0.000    0.000    0.000    0.000 groupby.py:2768(BinGrouper)
       13    0.000    0.000    0.000    0.000 nanops.py:60(__init__)
        1    0.000    0.000    0.000    0.000 backend_macosx.py:1(<module>)
      301    0.000    0.000    0.000    0.000 __init__.py:907(__iter__)
       38    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       44    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:578(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
      413    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:214(FigureCanvasQT)
        1    0.000    0.000    0.000    0.000 streamplot.py:4(<module>)
        6    0.000    0.000    0.000    0.000 patches.py:1815(<listcomp>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       23    0.000    0.000    0.000    0.000 rcsetup.py:47(__init__)
       27    0.000    0.000    0.000    0.000 locale.py:631(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
       19    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
      102    0.000    0.000    0.000    0.000 dtypes.py:266(construct_from_string)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3419(setResultsName)
      321    0.000    0.000    0.000    0.000 rcsetup.py:144(validate_float)
    50/46    0.000    0.000    0.000    0.000 typing.py:553(_replace_arg)
       17    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6266(__new__)
      121    0.000    0.000    0.000    0.000 pyparsing.py:1361(preParse)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2798(Regex)
        1    0.000    0.000    0.000    0.000 {built-in method _pickle.load}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
     45/1    0.000    0.000    0.000    0.000 copy.py:132(deepcopy)
        3    0.000    0.000    0.000    0.000 typing.py:732(__new__)
        1    0.000    0.000    0.000    0.000 patches.py:1105(Arrow)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:132(_family)
       21    0.000    0.000    0.000    0.000 __init__.py:1268(__init__)
        1    0.000    0.000    0.000    0.000 datetimelike.py:246(DatetimeIndexOpsMixin)
        5    0.000    0.000    0.000    0.000 typing.py:668(_tp_cache)
      267    0.000    0.000    0.000    0.000 typing.py:971(<genexpr>)
        1    0.000    0.000    0.000    0.000 data.py:7(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:1241(mkdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:594(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1751(<dictcomp>)
      517    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
        1    0.000    0.000    0.000    0.000 tzinfo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 axis.py:33(<listcomp>)
      270    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 blocking_input.py:20(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3642(__str__)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
      6/1    0.000    0.000    0.000    0.000 copy.py:236(_deepcopy_dict)
        2    0.000    0.000    0.000    0.000 concat.py:3(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1125(_parse_octet)
       92    0.000    0.000    0.000    0.000 textwrap.py:479(prefixed_lines)
      517    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
      742    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       60    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.result_type}
       39    0.000    0.000    0.000    0.000 contextlib.py:59(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:497(_code_to_bytecode)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
       10    0.000    0.000    0.000    0.000 pathlib.py:384(_wrap_strfunc)
       26    0.000    0.000    0.000    0.000 posixpath.py:144(basename)
      296    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 parquet.py:1(<module>)
      137    0.000    0.000    0.000    0.000 expr.py:145(<lambda>)
        1    0.000    0.000    0.000    0.000 offsets.py:143(DateOffset)
      164    0.000    0.000    0.000    0.000 typing.py:1089(__eq__)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       19    0.000    0.000    0.000    0.000 _methods.py:45(_all)
      144    0.000    0.000    0.000    0.000 pyparsing.py:2226(__hash__)
       26    0.000    0.000    0.000    0.000 calendar.py:58(__getitem__)
       54    0.000    0.000    0.000    0.000 accessor.py:72(_create_delegator_property)
       80    0.000    0.000    0.000    0.000 typing.py:1039(_abc_negative_cache_version)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3270(export)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1863(__radd__)
       76    0.000    0.000    0.000    0.000 __init__.py:329(iterable)
        8    0.000    0.000    0.000    0.000 core.py:8061(__init__)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        9    0.000    0.000    0.000    0.000 pathlib.py:385(wrapped)
       33    0.000    0.000    0.000    0.000 warnings.py:449(__enter__)
       13    0.000    0.000    0.000    0.000 nanops.py:68(__call__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1569(FigureCanvasBase)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 frozen.py:9(<module>)
       23    0.000    0.000    0.000    0.000 rcsetup.py:57(<dictcomp>)
      580    0.000    0.000    0.000    0.000 inspect.py:2813(return_annotation)
        1    0.000    0.000    0.000    0.000 chebyshev.py:88(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
       11    0.000    0.000    0.000    0.000 ops.py:741(_get_method_wrappers)
      224    0.000    0.000    0.000    0.000 patches.py:1822(<genexpr>)
       10    0.000    0.000    0.000    0.000 pyparsing.py:4004(__init__)
       57    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 frequencies.py:2(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:3(<module>)
        1    0.000    0.000    0.000    0.000 backend_managers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 case.py:341(TestCase)
      447    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 groupby.py:3950(NDFrameGroupBy)
      100    0.000    0.000    0.000    0.000 {built-in method pandas._libs.algos.ensure_float64}
      120    0.000    0.000    0.000    0.000 distance.py:126(_args_to_kwargs_xdist)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
      164    0.000    0.000    0.000    0.000 rcsetup.py:399(validate_string)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
       10    0.000    0.000    0.000    0.000 utils.py:118(deprecate)
       80    0.000    0.000    0.000    0.000 ops.py:249(_get_frame_op_default_axis)
      619    0.000    0.000    0.000    0.000 inspect.py:2809(parameters)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      138    0.000    0.000    0.000    0.000 expr.py:147(<genexpr>)
       24    0.000    0.000    0.000    0.000 config.py:695(config_prefix)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
       15    0.000    0.000    0.000    0.000 re.py:324(_subx)
        1    0.000    0.000    0.000    0.000 numeric.py:26(NumericIndex)
       97    0.000    0.000    0.000    0.000 ops.py:223(_gen_fill_zeros)
        1    0.000    0.000    0.000    0.000 offsets.py:2214(Tick)
        1    0.000    0.000    0.000    0.000 colors.py:89(<dictcomp>)
       63    0.000    0.000    0.000    0.000 rcsetup.py:429(validate_fontsize)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1200(setName)
      4/2    0.000    0.000    0.000    0.000 common.py:1879(_get_dtype_from_object)
       93    0.000    0.000    0.000    0.000 pyparsing.py:219(__init__)
        1    0.000    0.000    0.000    0.000 zipfile.py:1063(ZipFile)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1596(_make_netmask)
        1    0.000    0.000    0.000    0.000 tokenize.py:448(open)
        1    0.000    0.000    0.000    0.000 random.py:71(Random)
       44    0.000    0.000    0.000    0.000 re.py:249(escape)
        3    0.000    0.000    0.000    0.000 generic.py:236(_setup_axes)
       10    0.000    0.000    0.000    0.000 printing.py:153(pprint_thing)
      197    0.000    0.000    0.000    0.000 typing.py:974(<genexpr>)
       38    0.000    0.000    0.000    0.000 colors.py:788(__init__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4934(<lambda>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4936(<genexpr>)
        8    0.000    0.000    0.000    0.000 core.py:8066(getdoc)
       21    0.000    0.000    0.000    0.000 getlimits.py:507(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        5    0.000    0.000    0.000    0.000 base.py:4634(_add_numeric_methods_disabled)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
        6    0.000    0.000    0.000    0.000 deprecation.py:54(warn_deprecated)
        1    0.000    0.000    0.000    0.000 __init__.py:687(get_data_path)
       10    0.000    0.000    0.000    0.000 utils.py:74(__call__)
       36    0.000    0.000    0.000    0.000 getlimits.py:69(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.000    0.000 units.py:43(<module>)
       21    0.000    0.000    0.000    0.000 pyparsing.py:2764(__str__)
       14    0.000    0.000    0.000    0.000 calendar.py:77(__getitem__)
       80    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 typing.py:2340(BinaryIO)
        1    0.000    0.000    0.000    0.000 typing.py:2354(TextIO)
        1    0.000    0.000    0.000    0.000 error.py:2(<module>)
        1    0.000    0.000    0.000    0.000 response.py:7(<module>)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:656(_get_data_path)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scale.py:582(get_scale_docs)
        3    0.000    0.000    0.000    0.000 six.py:837(wrapper)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
       33    0.000    0.000    0.000    0.000 warnings.py:468(__exit__)
       45    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
        8    0.000    0.000    0.000    0.000 mathtext.py:1853(__init__)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1589(resetCache)
      277    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        5    0.000    0.000    0.000    0.000 _depr_module.py:26(__init__)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       27    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:574(__init__)
        1    0.000    0.000    0.000    0.000 win.py:2(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
       75    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        2    0.000    0.000    0.000    0.000 missing.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:215(UInt64Index)
        1    0.000    0.000    0.000    0.000 sorting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:300(__init__)
        1    0.000    0.000    0.000    0.000 tz.py:1237(tzical)
       44    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
      309    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 pickle_compat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 trifinder.py:1(<module>)
      127    0.000    0.000    0.000    0.000 six.py:184(find_module)
        1    0.000    0.000    0.000    0.000 __init__.py:555(get_home)
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
        1    0.000    0.000    0.000    0.000 chainmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
      204    0.000    0.000    0.000    0.000 patches.py:1815(<genexpr>)
       10    0.000    0.000    0.000    0.000 getlimits.py:71(<lambda>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:843(__getitem__)
        1    0.000    0.000    0.000    0.000 csc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 font_manager.py:939(FontManager)
      166    0.000    0.000    0.000    0.000 pyparsing.py:3336(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
       30    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        1    0.000    0.000    0.000    0.000 expr.py:252(f)
      115    0.000    0.000    0.000    0.000 pyparsing.py:2175(__str__)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:659(date)
        3    0.000    0.000    0.000    0.000 re.py:314(_compile_repl)
       17    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
       26    0.000    0.000    0.000    0.000 core.py:55(is_style_file)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4088(__init__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2048(__call__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
       39    0.000    0.000    0.000    0.000 inspect.py:505(_is_wrapper)
        1    0.000    0.000    0.000    0.000 traceback.py:438(TracebackException)
      158    0.000    0.000    0.000    0.000 _decorators.py:241(__init__)
       59    0.000    0.000    0.000    0.000 typing.py:866(_make_subclasshook)
        3    0.000    0.000    0.000    0.000 __init__.py:35(__deprecate_private_class)
       39    0.000    0.000    0.000    0.000 __init__.py:1598(_preprocess_data)
        6    0.000    0.000    0.000    0.000 pathlib.py:1343(is_dir)
        8    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
      107    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 path.py:21(Path)
       17    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
       55    0.000    0.000    0.000    0.000 rcsetup.py:667(__call__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:334(ParseResults)
      144    0.000    0.000    0.000    0.000 inspect.py:64(ismodule)
       10    0.000    0.000    0.000    0.000 case.py:1316(_deprecate)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:389(wrapper)
       45    0.000    0.000    0.000    0.000 docstring.py:44(update)
      160    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
      130    0.000    0.000    0.000    0.000 deprecation.py:115(deprecated)
       96    0.000    0.000    0.000    0.000 enum.py:822(_high_bit)
      414    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       71    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.000    0.000 _decorators.py:308(indent)
        1    0.000    0.000    0.000    0.000 relativedelta.py:2(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
       36    0.000    0.000    0.000    0.000 config.py:725(wrap)
       86    0.000    0.000    0.000    0.000 typing.py:518(_get_type_vars)
        1    0.000    0.000    0.000    0.000 _matrix_io.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2729(parseImpl)
       13    0.000    0.000    0.000    0.000 __init__.py:1286(debug)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       60    0.000    0.000    0.000    0.000 function_base.py:13(_index_deprecate)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
      526    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        6    0.000    0.000    0.000    0.000 nanops.py:95(__call__)
        4    0.000    0.000    0.000    0.000 typing.py:613(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 spines.py:13(Spine)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        2    0.000    0.000    0.000    0.000 __init__.py:175(compare_versions)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        3    0.000    0.000    0.000    0.000 sre_parse.py:876(parse_template)
       57    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 _testutils.py:4(<module>)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
        2    0.000    0.000    0.000    0.000 __init__.py:18(_get_running_interactive_framework)
       15    0.000    0.000    0.000    0.000 rcsetup.py:906(validate_animation_writer_path)
        3    0.000    0.000    0.000    0.000 __init__.py:476(PYFUNCTYPE)
       26    0.000    0.000    0.000    0.000 os.py:742(encode)
       28    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1075(_make_netmask)
        1    0.000    0.000    0.000    0.000 core.py:2378(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 indexing.py:1361(_IXIndexer)
       26    0.000    0.000    0.000    0.000 ops.py:1795(_arith_method_SPARSE_ARRAY)
        1    0.000    0.000    0.000    0.000 kdtree.py:176(KDTree)
        1    0.000    0.000    0.000    0.000 trirefine.py:3(<module>)
       44    0.000    0.000    0.000    0.000 pyparsing.py:3647(<genexpr>)
