Initialised
         12256924 function calls (12247285 primitive calls) in 24.889 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   233206    0.090    0.000    0.090    0.000 _internal.py:363(_view_is_safe)
  635/609    0.001    0.000    0.090    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
   116603    0.067    0.000    0.090    0.000 arraysetops.py:113(_unpack_tuple)
1749/1677    0.026    0.000    0.088    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.085    0.085 colorbar.py:20(<module>)
      516    0.001    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      516    0.079    0.000    0.079    0.000 {built-in method marshal.loads}
   113/95    0.000    0.000    0.078    0.001 <frozen importlib._bootstrap_external>:919(create_module)
   113/95    0.060    0.001    0.077    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.069    0.069 __init__.py:106(<module>)
        4    0.000    0.000    0.069    0.017 __init__.py:2(<module>)
        1    0.047    0.047    0.068    0.068 Thylakoid_model_2.py:527(<listcomp>)
        1    0.000    0.000    0.068    0.068 __init__.py:101(<module>)
        1    0.000    0.000    0.065    0.065 groupby.py:1(<module>)
        1    0.029    0.029    0.051    0.051 Thylakoid_model_2.py:519(<listcomp>)
        1    0.029    0.029    0.051    0.051 Thylakoid_model_2.py:526(<listcomp>)
        1    0.028    0.028    0.051    0.051 Thylakoid_model_2.py:525(<listcomp>)
        1    0.000    0.000    0.050    0.050 add_newdocs.py:10(<module>)
        1    0.028    0.028    0.050    0.050 Thylakoid_model_2.py:518(<listcomp>)
        1    0.028    0.028    0.049    0.049 Thylakoid_model_2.py:528(<listcomp>)
      769    0.004    0.000    0.044    0.000 <frozen importlib._bootstrap>:870(_find_spec)
        1    0.000    0.000    0.044    0.044 figure.py:12(<module>)
     2583    0.002    0.000    0.042    0.000 re.py:286(_compile)
      7/2    0.000    0.000    0.041    0.020 pyplot.py:177(switch_backend)
    79/77    0.000    0.000    0.040    0.001 __init__.py:870(__getitem__)
      5/3    0.000    0.000    0.040    0.013 __init__.py:108(import_module)
      5/3    0.000    0.000    0.040    0.013 <frozen importlib._bootstrap>:982(_gcd_import)
        1    0.000    0.000    0.039    0.039 type_check.py:3(<module>)
        1    0.000    0.000    0.039    0.039 backend_qt5agg.py:3(<module>)
        1    0.000    0.000    0.039    0.039 _subplots.py:1(<module>)
        1    0.001    0.001    0.038    0.038 backend_qt5.py:1(<module>)
      207    0.001    0.000    0.037    0.000 sre_compile.py:557(compile)
      764    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       11    0.000    0.000    0.037    0.003 artist.py:1511(kwdoc)
      764    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        1    0.000    0.000    0.035    0.035 figureoptions.py:6(<module>)
        1    0.000    0.000    0.035    0.035 formlayout.py:33(<module>)
        1    0.000    0.000    0.035    0.035 qt_compat.py:13(<module>)
        1    0.000    0.000    0.034    0.034 qt_compat.py:72(_setup_pyqt5)
        1    0.000    0.000    0.034    0.034 contour.py:3(<module>)
       11    0.001    0.000    0.033    0.003 artist.py:1268(pprint_setters)
        1    0.000    0.000    0.032    0.032 frame.py:10(<module>)
     1069    0.007    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.029    0.029 _axes.py:1(<module>)
      125    0.000    0.000    0.028    0.000 re.py:231(compile)
       16    0.004    0.000    0.028    0.002 Thylakoid_model_2.py:358(load_coordinates)
      723    0.003    0.000    0.028    0.000 textwrap.py:414(dedent)
        6    0.000    0.000    0.027    0.005 api.py:3(<module>)
        1    0.000    0.000    0.026    0.026 __init__.py:90(<module>)
      547    0.001    0.000    0.025    0.000 _decorators.py:300(__call__)
        1    0.000    0.000    0.024    0.024 text.py:3(<module>)
133757/133297    0.024    0.000    0.024    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.024    0.012 api.py:1(<module>)
        1    0.000    0.000    0.023    0.023 index.py:2(<module>)
        1    0.000    0.000    0.023    0.023 rcsetup.py:15(<module>)
     2332    0.003    0.000    0.023    0.000 Thylakoid_model_2.py:30(__init__)
      100    0.001    0.000    0.022    0.000 algorithms.py:141(_reconstruct_data)
        1    0.000    0.000    0.022    0.022 request.py:68(<module>)
        1    0.000    0.000    0.022    0.022 collections.py:10(<module>)
        2    0.000    0.000    0.021    0.010 __init__.py:7(<module>)
      207    0.001    0.000    0.020    0.000 sre_parse.py:844(parse)
        1    0.000    0.000    0.020    0.020 algorithms.py:4(<module>)
        1    0.000    0.000    0.020    0.020 fontconfig_pattern.py:7(<module>)
        1    0.000    0.000    0.019    0.019 _constrained_layout.py:16(<module>)
       12    0.002    0.000    0.018    0.002 artist.py:1179(_get_setters_and_targets)
        1    0.000    0.000    0.018    0.018 legend.py:22(<module>)
        1    0.000    0.000    0.018    0.018 client.py:69(<module>)
  459/207    0.001    0.000    0.018    0.000 sre_parse.py:407(_parse_sub)
  517/217    0.006    0.000    0.017    0.000 sre_parse.py:470(_parse)
        1    0.000    0.000    0.017    0.017 pyparsing.py:76(<module>)
        1    0.000    0.000    0.016    0.016 __init__.py:25(<module>)
       27    0.000    0.000    0.016    0.001 __init__.py:1056(rc_params_from_file)
      410    0.001    0.000    0.016    0.000 artist.py:1142(get_valid_values)
      580    0.003    0.000    0.016    0.000 inspect.py:1087(getfullargspec)
     1246    0.016    0.000    0.016    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      207    0.000    0.000    0.015    0.000 sre_compile.py:542(_code)
      140    0.001    0.000    0.014    0.000 fromnumeric.py:64(_wrapreduction)
       37    0.001    0.000    0.014    0.000 __init__.py:357(namedtuple)
        1    0.000    0.000    0.014    0.014 series.py:3(<module>)
        1    0.000    0.000    0.014    0.014 core.py:12(<module>)
        1    0.000    0.000    0.014    0.014 core.py:151(load_base_library)
        1    0.000    0.000    0.014    0.014 core.py:182(read_style_directory)
      100    0.000    0.000    0.014    0.000 fromnumeric.py:2337(amin)
        2    0.000    0.000    0.013    0.007 __init__.py:45(<module>)
      619    0.002    0.000    0.013    0.000 inspect.py:2181(_signature_from_callable)
       27    0.002    0.000    0.013    0.000 __init__.py:978(_rc_params_in_file)
        3    0.000    0.000    0.013    0.004 base.py:1(<module>)
     1799    0.002    0.000    0.013    0.000 __init__.py:829(__setitem__)
      100    0.001    0.000    0.012    0.000 defmatrix.py:682(min)
        5    0.000    0.000    0.012    0.002 __init__.py:3(<module>)
      488    0.000    0.000    0.012    0.000 re.py:179(search)
      159    0.012    0.000    0.012    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  965/207    0.004    0.000    0.012    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.012    0.012 _spherical_voronoi.py:6(<module>)
      100    0.000    0.000    0.011    0.000 _methods.py:30(_amin)
      619    0.004    0.000    0.011    0.000 inspect.py:2100(_signature_from_function)
      635    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.010    0.010 distance.py:72(<module>)
        1    0.000    0.000    0.010    0.010 generic.py:2(<module>)
     2520    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     5499    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.000    0.000    0.010    0.010 typing.py:1(<module>)
      518    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        1    0.000    0.000    0.009    0.009 parser.py:5(<module>)
     2557    0.009    0.000    0.009    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.009    0.009 __init__.py:184(<module>)
        1    0.000    0.000    0.009    0.009 feedparser.py:20(<module>)
        1    0.000    0.000    0.009    0.009 textpath.py:1(<module>)
      723    0.009    0.000    0.009    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.009    0.009 offsetbox.py:15(<module>)
        1    0.000    0.000    0.009    0.009 _internal.py:6(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:4(<module>)
